stockid,year,bdivbmsypref,BvBmsy,MSY_pred,MSY
COD2J3KL,2009,0.053,0.5465280354885588,177508.23443362323,23602.7
COD2J3KL,2010,0.0626,0.5723199168141158,177508.23443362323,23602.7
COD2J3KL,2011,0.0663,0.5986120476367705,177508.23443362323,23602.7
COD3M,1992,0.836104606,0.21010881993479966,15931.503880516182,24643.00716
COD3M,1993,0.667135731,0.16646554159529608,15931.503880516182,24643.00716
COD3M,1994,0.718117719,0.11927287214410966,15931.503880516182,24643.00716
COD3M,1995,0.335024494,0.09003283395523302,15931.503880516182,24643.00716
COD3M,1996,0.083173472,0.07329144141284555,15931.503880516182,24643.00716
COD3M,1997,0.071083458,0.07458527342140675,15931.503880516182,24643.00716
COD3M,1998,0.053603919,0.07683054465343978,15931.503880516182,24643.00716
COD3M,1999,0.037581008,0.08465218758155714,15931.503880516182,24643.00716
COD3M,2e3,0.03510474,0.09424599364009846,15931.503880516182,24643.00716
COD3M,2001,0.029715216,0.10557754880527254,15931.503880516182,24643.00716
COD3M,2002,0.034522089,0.11799092018125223,15931.503880516182,24643.00716
COD3M,2003,0.038891974,0.13155014314760186,15931.503880516182,24643.00716
COD3M,2004,0.062052363,0.14629464534008702,15931.503880516182,24643.00716
COD3M,2005,0.066859236,0.162239697798429,15931.503880516182,24643.00716
COD3M,2006,0.105605547,0.17941394782287826,15931.503880516182,24643.00716
COD3M,2007,0.195188183,0.19704348867524243,15931.503880516182,24643.00716
COD3M,2008,0.300065416,0.21589886488700774,15931.503880516182,24643.00716
COD3M,2009,0.453011381,0.23459941666028794,15931.503880516182,24643.00716
COD3M,2010,0.686071898,0.2537865603942702,15931.503880516182,24643.00716
COD3M,2011,0.856497401,0.253336128441856,15931.503880516182,24643.00716
COD3NO,1988,1.034461594,0.7315820175416629,8122.254758715147,23566.91259
COD3NO,1989,0.751364531,0.5881212383452724,8122.254758715147,23566.91259
COD3NO,1990,0.852852157,0.47731760243143107,8122.254758715147,23566.91259
COD3NO,1991,0.464706499,0.380689295965018,8122.254758715147,23566.91259
COD3NO,1992,0.267072701,0.2793407623729915,8122.254758715147,23566.91259
COD3NO,1993,0.867096035,0.24374786224134534,8122.254758715147,23566.91259
COD3NO,1994,0.096858366,0.21290325807422678,8122.254758715147,23566.91259
COD3NO,1995,0.045046262,0.21749550563178746,8122.254758715147,23566.91259
COD3NO,1996,0.084038876,0.23514223012438917,8122.254758715147,23566.91259
COD3NO,1997,0.043977971,0.2537763506114484,8122.254758715147,23566.91259
COD3NO,1998,0.302682394,0.27247621181738796,8122.254758715147,23566.91259
